.index,.conf_lo,.conf_hi,XGBOOST
2024-01-01,-186.24797881006725,208.2038332259608,10.977927207946777
2024-01-02,-188.31903612970837,206.1327759063197,8.906869888305664
2024-01-03,-187.28706610559948,207.16474593042858,9.93883991241455
2024-01-04,548.0525363647985,942.5043484008265,745.2784423828125
2024-01-05,554.7094577515172,949.1612697875453,751.93536376953125
2024-01-06,-121.84738123774059,272.60443079828747,75.37852478027344
2024-01-07,-167.00170672297008,227.45010531305797,30.224199295043945
2024-01-08,-170.64284098505505,223.808971050973,26.583065032958984
2024-01-09,580.987717028861,975.439529064889,778.213623046875
2024-01-10,601.9733737671422,996.4251858031703,799.19927978515625
2024-01-11,578.2268527710485,972.6786648070765,775.4527587890625
2024-01-12,581.0982516968297,975.5500637328578,778.32415771484375
2024-01-13,-128.39591181635387,266.0559002196742,68.82999420166016
2024-01-14,-174.96975100397594,219.48206103205212,22.256155014038086
2024-01-15,297.42399632573597,691.875808361764,494.64990234375
2024-01-16,169.91456639409535,564.3663784301234,367.1404724121094
2024-01-17,118.11088597417347,512.5626980102015,315.3367919921875
2024-01-18,147.43382298589222,541.8856350219203,344.65972900390625
2024-01-19,181.09098851323597,575.542800549264,378.31689453125
2024-01-20,-137.2949024474574,257.15690958857067,59.93100357055664
2024-01-21,-191.27553141474255,203.1762806212855,5.950374603271484
2024-01-22,177.28385960698597,571.735671643014,374.509765625
2024-01-23,154.91197239995472,549.3637844359828,352.13787841796875
2024-01-24,128.49366795659535,522.9454799926234,325.7195739746094
2024-01-25,100.94017064214222,495.3919826781703,298.16607666015625
2024-01-26,62.95652806401722,457.4083401000453,260.18243408203125
2024-01-27,-121.80132258295544,272.6504894530726,75.4245834350586
2024-01-28,-173.7842079436732,220.66760409235485,23.44169807434082
2024-01-29,84.46720921636097,478.91902125238903,281.693115234375
2024-01-30,84.17802464604847,478.62983668207653,281.4039306640625
2024-01-31,75.64451634526722,470.0963283812953,272.87042236328125
2024-02-01,149.99455296636097,544.446365002389,347.220458984375
2024-02-02,543.9938815796422,938.4456936156703,741.21978759765625
2024-02-03,-129.90457880854137,264.5472332274867,67.32132720947266
2024-02-04,-175.07969057917126,219.3721214568568,22.146215438842773
2024-02-05,560.2529758179235,954.7047878539515,757.4788818359375
2024-02-06,508.04374730229847,902.4955593383265,705.2696533203125
2024-02-07,525.6249850952672,920.0767971312953,722.85089111328125
2024-02-08,538.339523669486,932.791335705514,735.5654296875
2024-02-09,515.9109348022985,910.3627468383265,713.1368408203125
2024-02-10,-126.76988184809215,267.6819301879359,70.456024169921875
2024-02-11,-179.77912867426403,214.67268336176403,17.44677734375
2024-02-12,-183.84991801142223,210.60189402460583,13.375988006591797
2024-02-13,469.2416843140172,863.6934963500453,666.46759033203125
2024-02-14,365.23539769292347,759.6872097289515,562.4613037109375
2024-02-15,249.78758275151722,644.2393947875453,447.01348876953125
2024-02-16,98.6625522339391,493.11436426996715,295.8884582519531
2024-02-17,-129.44205439447887,265.0097576415492,67.78385162353516
2024-02-18,-183.84991801142223,210.60189402460583,13.375988006591797
2024-02-19,101.9933627808141,496.44517481684215,299.2192687988281
2024-02-20,90.30018651128285,484.7519985473109,287.5260925292969
2024-02-21,84.88810765386097,479.33991968988903,282.114013671875
2024-02-22,75.4707797730016,469.92259180902965,272.6966857910156
2024-02-23,-178.0480762755824,216.40373576044567,19.17782974243164
2024-02-24,-133.37425196527965,261.0775600707484,63.851654052734375
2024-02-25,-185.00652945398815,209.4452825820399,12.219376564025879
2024-02-26,104.24733006597035,498.6991421019984,301.4732360839844
2024-02-27,98.36427342534535,492.8160854613734,295.5901794433594
2024-02-28,67.57481419682972,462.0266262328578,264.80072021484375
2024-02-29,46.516311999564095,440.96812403559215,243.74221801757813
2024-03-01,76.9202426636266,471.37205469965465,274.1461486816406
2024-03-02,-115.80268824457653,278.64912379145153,81.4232177734375
2024-03-03,-185.6870456969691,208.76476633905895,11.538860321044922
2024-03-04,562.8005832397985,957.2523952758265,760.0264892578125
2024-03-05,505.36393773198597,899.815749768014,702.58984375
2024-03-06,530.7646335327672,925.2164455687953,727.99053955078125
2024-03-07,530.5705417358922,925.0223537719203,727.79644775390625
2024-03-08,510.68351781011097,905.135329846139,707.909423828125
2024-03-09,-121.64822352289684,272.8035885131312,75.57768249511719
2024-03-10,-178.0654636657191,216.38634837030895,19.160442352294922
2024-03-11,548.702804919486,943.154616955514,745.9287109375
2024-03-12,533.834152575736,928.285964611764,731.06005859375
2024-03-13,488.2404636108922,882.6922756469203,685.46636962890625
2024-03-14,406.03752171636097,800.489333752389,603.263427734375
2024-03-15,251.83427464604847,646.2860866820765,449.0601806640625
2024-03-16,-132.65669978022106,261.795112255807,64.56920623779297
2024-03-17,-181.2950311934901,213.15678084253796,15.930874824523926
2024-03-18,185.97331273198597,580.425124768014,383.19921875
2024-03-19,158.37400853276722,552.8258205687953,355.59991455078125
2024-03-20,-183.15681136011608,211.29500067591198,14.06909465789795
2024-03-21,133.03178441167347,527.4835964477015,330.2576904296875
2024-03-22,137.69642674565785,532.1482387816859,334.9223327636719
2024-03-23,-128.35449946283825,266.0973125731898,68.87140655517578
2024-03-24,-183.15681136011608,211.29500067591198,14.06909465789795
2024-03-25,175.38090550542347,569.8327175414515,372.6068115234375
2024-03-26,72.72645604253285,467.1782680785609,269.9523620605469
2024-03-27,95.99830662847035,490.4501186644984,293.2242126464844
2024-03-28,33.39103734136097,427.84284937738903,230.616943359375
2024-03-29,-12.107101086373405,382.34471094965465,185.11880493164063
