.index,.conf_lo,.conf_hi,RANGER
2024-01-01,-69.96858959980614,196.0902013515735,63.06080587588368
2024-01-02,-65.92185020586676,200.1369407455129,67.10754526982306
2024-01-03,-55.96391393135694,210.0948770200227,77.06548154433288
2024-01-04,328.047389444945,594.1061803963247,461.07678492063485
2024-01-05,346.27636563542114,612.3351565868008,479.305761111111
2024-01-06,-19.514221576560175,246.54456937481947,113.51517389912965
2024-01-07,-67.36028983290642,198.69850111847325,65.6691056427834
2024-01-08,-83.39956746448539,182.65922348689426,49.62982801120444
2024-01-09,390.00274896875464,656.0615399201344,523.0321444444445
2024-01-10,361.72578486619034,627.78457581757,494.7551803418802
2024-01-11,372.62514677095226,638.6839377223318,505.65454224664205
2024-01-12,380.9982181995239,647.0570091509036,514.0276136752137
2024-01-13,-66.381084945471045,199.6777060059086,66.64831053021878
2024-01-14,-107.8610262449206,158.19776470645905,25.168369230769233
2024-01-15,271.78935373065906,537.8481446820388,404.8187492063489
2024-01-16,146.52230765222814,412.58109860360776,279.55170312791796
2024-01-17,130.9794743188949,397.03826527027456,264.0088697945847
2024-01-18,157.4281100331804,423.48690098456007,290.4575055088702
2024-01-19,162.93637669984682,428.99516765122644,295.96577217553664
2024-01-20,-84.21977435433804,181.83901659704162,48.80962112135178
2024-01-21,-119.59626672111108,146.46252423026857,13.43312875457875
2024-01-22,145.0973060649264,411.15609701630603,278.12670154061624
2024-01-23,142.09240606492634,408.151197016306,275.12180154061616
2024-01-24,120.28459495381529,386.34338590519496,253.3139904295051
2024-01-25,107.5472386512943,373.60602960267397,240.57663412698412
2024-01-26,97.81094817510373,363.8697391264834,230.84034365079356
2024-01-27,-83.71223912648347,182.34655182489618,49.317156349206364
2024-01-28,-115.92629291158725,150.13249803979238,17.103102564102567
2024-01-29,65.81510928621492,331.87390023759457,198.84450476190474
2024-01-30,61.94797595288168,328.0067669042613,194.9773714285715
2024-01-31,64.44600928621509,330.50480023759474,197.4754047619049
2024-02-01,80.09196325446894,346.15075420584856,213.12135873015876
2024-02-02,314.9988156354211,581.0576065868008,448.028211111111
2024-02-03,-64.85636641783016,201.2024245335495,68.17302905785967
2024-02-04,-95.86575537657325,170.1930355748064,37.16364009911657
2024-02-05,343.6589775401833,609.717768491563,476.68837301587314
2024-02-06,334.6466489687548,600.7054399201345,467.67604444444464
2024-02-07,327.4857489687546,593.5445399201343,460.51514444444445
2024-02-08,328.20913785764344,594.2679288090231,461.2385333333333
2024-02-09,327.9945569052626,594.0533478566423,461.02395238095244
2024-02-10,-68.95070319943932,197.10808775194033,64.07869227625051
2024-02-11,-106.93045299562087,159.12833795575878,26.098942480068956
2024-02-12,-92.96895481634918,173.08983613503045,40.06044065934064
2024-02-13,302.72198706399263,568.7807780153722,435.7513825396824
2024-02-14,252.11840134970677,518.1771923010864,385.1477968253966
2024-02-15,226.51932992113544,492.5781208725151,359.54872539682526
2024-02-16,82.1629926195483,348.221783570928,215.19238809523813
2024-02-17,-86.05248546544915,180.0063054859305,46.97691001024067
2024-02-18,-120.72139291158727,145.3373980397924,12.308002564102553
2024-02-19,227.5697807147865,493.6285716661662,360.5991761904763
2024-02-20,251.03915452431025,517.0979454756899,384.0685500000001
2024-02-21,213.609362216618,479.6681531679976,346.6387576923078
2024-02-22,201.60340666106228,467.6621976124419,334.6328021367521
2024-02-23,-102.53922642807079,163.51956452330884,30.49016904761903
2024-02-24,-83.42221372965807,182.63657722172158,49.60718174603176
2024-02-25,-119.94009291158726,146.11869803979238,13.089302564102564
2024-02-26,136.6204021433579,402.67919309473757,269.6497976190477
2024-02-27,129.5260688100245,395.5848597614041,262.5554642857143
2024-02-28,96.44788785764342,362.50667880902307,229.47728333333325
2024-02-29,59.6885211909769,325.7473121423566,192.71791666666672
2024-03-01,75.77046325446895,341.8292542058486,208.79985873015877
2024-03-02,-62.008281497195185,204.05050945418446,71.02111397849464
2024-03-03,-100.14079585276374,165.9179950986159,32.88859962292609
2024-03-04,352.8429442068499,618.9017351582296,485.87233968253975
2024-03-05,327.2218823020879,593.2806732534675,460.2512777777777
2024-03-06,313.8811156354211,579.9399065868007,446.9105111111109
2024-03-07,323.7593156354212,589.8181065868009,456.78871111111107
2024-03-08,326.0164061116117,592.0751970629914,459.0458015873015
2024-03-09,-67.21808494547105,198.8407060059086,65.81131053021878
2024-03-10,-105.72694585276373,160.3318450986159,27.302449622926087
2024-03-11,370.6498394449451,636.7086303963247,503.6792349206349
2024-03-12,313.2462108735167,579.3050018248963,446.2756063492065
2024-03-13,298.531720397326,564.5905113487057,431.56111587301586
2024-03-14,248.66648230208804,514.7252732534677,381.69587777777787
2024-03-15,228.89854896875462,494.95733992013425,361.92794444444445
2024-03-16,-84.53400768767138,181.5247832637083,48.49538778801845
2024-03-17,-120.05046791158728,146.00832303979237,12.978927564102552
2024-03-18,148.12992357192937,414.18871452330905,281.1593190476192
2024-03-19,147.07665690526264,413.13544785664226,280.10605238095246
2024-03-20,-111.8901012449206,154.16868970645905,21.139294230769224
2024-03-21,111.48776007986572,377.5465510312454,244.51715555555555
2024-03-22,110.81689341319901,376.87568436457866,243.84628888888884
2024-03-23,-86.71314547568986,179.3456454756898,46.31624999999997
2024-03-24,-121.0652512449206,144.99353970645905,11.964144230769227
2024-03-25,126.26000214335775,392.31879309473743,259.2893976190476
2024-03-26,112.57132119097685,378.6301121423565,245.60071666666667
2024-03-27,97.509497381453,363.56828833283265,230.53889285714283
2024-03-28,68.61281231651793,334.6716032678976,201.64220779220776
